comparison,model,category,reference,rp,lower,upper,p
mixto,educacion,Medio,Universitario,1.0398067518669118,0.9026527156179064,1.1978007294731163,0.5885987949118763
mixto,educacion,Bajo,Universitario,1.026453235209986,0.9058934376786464,1.1630575962366114,0.6821180124372106
mixto,ocupacion,Intermedia/no manual y servicios,Alta/profesional-directiva,1.141498417737138,1.0021346884356548,1.3002430239496232,0.0463642639321378
mixto,ocupacion,Manual/agraria/elemental,Alta/profesional-directiva,1.0986936373786522,0.970927240523374,1.24327308827553,0.1356438988509464
mixto,economia,Alguna facilidad,Facilidad,1.149073234233656,1.0154111074766392,1.3003297757037502,0.0276401093508251
mixto,economia,Alguna dificultad,Facilidad,1.0835383734758566,0.9592420518421084,1.223940719175179,0.1968419955361591
mixto,economia,Dificultad,Facilidad,1.2639673949985126,1.1278340191006342,1.416532529222081,5.601129803928581e-05
poco_saludable,educacion,Medio,Universitario,1.1269626248285436,1.0175581680754402,1.2481298834862105,0.0217888661313618
poco_saludable,educacion,Bajo,Universitario,1.0018443396990515,0.9112624749458418,1.1014302778644318,0.9696004692640904
poco_saludable,ocupacion,Intermedia/no manual y servicios,Alta/profesional-directiva,1.2736731660999288,1.144260085048653,1.417722557345029,9.643976873785306e-06
poco_saludable,ocupacion,Manual/agraria/elemental,Alta/profesional-directiva,1.1693286534169367,1.0532843540869727,1.2981579897169555,0.0033518992424402
poco_saludable,economia,Alguna facilidad,Facilidad,1.187830958646681,1.0795746239092314,1.3069428968331542,0.0004150135293556
poco_saludable,economia,Alguna dificultad,Facilidad,1.154500711150654,1.051240797212016,1.2679035056309271,0.0026534618177042
poco_saludable,economia,Dificultad,Facilidad,1.2460804519174764,1.1389424789453535,1.363296673321604,1.6164911276037278e-06
