group,balanced,mixed,unhealthy
Cereales,95.0240263957298,97.66479390486067,96.45136432463188
Lácteos,92.21303649277588,94.2530824713042,92.75928552012972
Huevos,12.652944808939315,38.9127804564498,29.754863703228366
Comida rápida,1.4842145513899858,2.2681482546825853,22.31642287896777
Dulces,12.895746482366995,15.522062690362242,65.89721604316637
Fruta,83.61345704187282,88.67680170867115,75.46654452136818
Verduras,75.31551599333058,84.40451360273988,67.85118660966685
Legumbres,35.513651027777485,40.99288445847803,27.127742933664692
Pescado,21.4099365990762,40.16179298899491,27.32836397489201
Bebidas azucaradas,5.314584997780707,2.2274734878577176,73.09604689513874
Carne,31.389591552310147,78.43920555790135,66.43177617277578
Embutidos/fiambres,0.1814597895763171,57.92331883609489,46.04788897617394
