variable,category,balanced,mixed,unhealthy,n_total,peso_total
sexo,Hombre,31.35854308049527,27.770799812454506,40.87065710705022,4520,4724756.769926429
sexo,Mujer,35.64357618616466,26.290628948390754,38.06579486544459,1833,1978591.1231689453
educacion,Bajo,33.43894016659535,27.93148721930368,38.629572614100965,4422,4654318.975859046
educacion,Medio,29.49326477222985,25.389266344232247,45.117468883537896,1339,1416566.664855957
educacion,Universitario,33.778149614855366,27.14538987177564,39.07646051336899,563,602023.5623779297
economia,Dificultad,29.444667735214846,29.34001602444413,41.21531624034102,2188,2316160.639465332
economia,Alguna dificultad,33.9385939846162,25.695146160410413,40.36625985497339,1769,1847486.9509887693
economia,Alguna facilidad,32.013956191762325,27.08877604363905,40.89726776459862,1465,1539483.3085006475
economia,Facilidad,39.13432434307799,25.885367391571407,34.98030826535061,893,960435.886291504
ocupacion,Alta/profesional-directiva,38.782308644121386,27.529305439256508,33.6883859166221,617,660306.0062255859
ocupacion,Intermedia/no manual y servicios,29.891675804157696,26.75560809822777,43.352716097614525,2034,2138176.6189575195
ocupacion,Manual/agraria/elemental,33.05842851740603,27.575263828148973,39.366307654445,3652,3850720.6436446905
provincia,Almería,43.37368342233156,17.96099601489587,38.66532056277257,519,556103.9176635742
provincia,Cádiz,17.394147877207704,33.512276327697485,49.09357579509481,931,994239.230558753
provincia,Córdoba,29.80464689641412,32.771109984178565,37.42424311940732,650,638701.7263183594
provincia,Granada,47.99811598225799,22.58019443775051,29.421689579991504,702,746199.9813232422
provincia,Huelva,27.630070369674588,34.33135175554873,38.03857787477668,429,423614.9039916992
provincia,Jaén,56.13237230859601,18.280908635362056,25.586719056041936,513,527243.2596435547
provincia,Málaga,35.81994691762186,28.2155639414706,35.96448914090754,1158,1269924.0223999023
provincia,Sevilla,23.02710801699229,27.226152603873864,49.74673937913384,1451,1547320.851196289
