comparacion,comparacion_corta,modelo,modelo_corto,variable_social,categoria,referencia,RP,IC95_inf,IC95_sup,p,RP_fmt,IC95_fmt,p_fmt,n_total,n_referencia,n_patron_comparado,prev_pond_%
Patrón mixto vs patrón equilibrado con tendencia saludable,Mixto vs equilibrado,Educación,Educación + sexo,educ_lbl,Universitario,Universitario,1.0,,,,1,Referencia,,3738,2032,1706,45.57064777577338
Patrón mixto vs patrón equilibrado con tendencia saludable,Mixto vs equilibrado,Educación,Educación + sexo,educ_lbl,Medio,Universitario,1.0398067518669118,0.9026527156179063,1.1978007294731163,0.5885987949118763,"1,04","0,90--1,20","0,589",3738,2032,1706,45.57064777577338
Patrón mixto vs patrón equilibrado con tendencia saludable,Mixto vs equilibrado,Educación,Educación + sexo,educ_lbl,Bajo,Universitario,1.026453235209986,0.9058934376786463,1.1630575962366114,0.6821180124372106,"1,03","0,91--1,16","0,682",3738,2032,1706,45.57064777577338
Patrón mixto vs patrón equilibrado con tendencia saludable,Mixto vs equilibrado,Ocupación,Ocupación + sexo,ocup_posicion_3_aprox,Alta/profesional-directiva,Alta/profesional-directiva,1.0,,,,1,Referencia,,3724,2023,1701,45.57595375048964
Patrón mixto vs patrón equilibrado con tendencia saludable,Mixto vs equilibrado,Ocupación,Ocupación + sexo,ocup_posicion_3_aprox,Intermedia/no manual y servicios,Alta/profesional-directiva,1.141498417737138,1.0021346884356548,1.3002430239496232,0.04636426393213782,"1,14","1,00--1,30","0,046",3724,2023,1701,45.57595375048964
Patrón mixto vs patrón equilibrado con tendencia saludable,Mixto vs equilibrado,Ocupación,Ocupación + sexo,ocup_posicion_3_aprox,Manual/agraria/elemental,Alta/profesional-directiva,1.0986936373786522,0.970927240523374,1.24327308827553,0.13564389885094644,"1,10","0,97--1,24","0,136",3724,2023,1701,45.57595375048964
Patrón mixto vs patrón equilibrado con tendencia saludable,Mixto vs equilibrado,Situación económica,Situación económica + sexo,ingresos_lbl,Facilidad,Facilidad,1.0,,,,1,Referencia,,3736,2033,1703,45.524957712729396
Patrón mixto vs patrón equilibrado con tendencia saludable,Mixto vs equilibrado,Situación económica,Situación económica + sexo,ingresos_lbl,Alguna facilidad,Facilidad,1.149073234233656,1.0154111074766392,1.3003297757037502,0.02764010935082518,"1,15","1,02--1,30","0,028",3736,2033,1703,45.524957712729396
Patrón mixto vs patrón equilibrado con tendencia saludable,Mixto vs equilibrado,Situación económica,Situación económica + sexo,ingresos_lbl,Alguna dificultad,Facilidad,1.0835383734758566,0.9592420518421084,1.223940719175179,0.1968419955361591,"1,08","0,96--1,22","0,197",3736,2033,1703,45.524957712729396
Patrón mixto vs patrón equilibrado con tendencia saludable,Mixto vs equilibrado,Situación económica,Situación económica + sexo,ingresos_lbl,Dificultad,Facilidad,1.2639673949985126,1.1278340191006342,1.416532529222081,5.601129803928581e-05,"1,26","1,13--1,42","<0,001",3736,2033,1703,45.524957712729396
Patrón con tendencia poco saludable vs patrón equilibrado con tendencia saludable,Poco saludable vs equilibrado,Educación,Educación + sexo,educ_lbl,Universitario,Universitario,1.0,,,,1,Referencia,,4618,2032,2586,55.10136293023753
Patrón con tendencia poco saludable vs patrón equilibrado con tendencia saludable,Poco saludable vs equilibrado,Educación,Educación + sexo,educ_lbl,Medio,Universitario,1.1269626248285436,1.0175581680754402,1.2481298834862105,0.02178886613136184,"1,13","1,02--1,25","0,022",4618,2032,2586,55.10136293023753
Patrón con tendencia poco saludable vs patrón equilibrado con tendencia saludable,Poco saludable vs equilibrado,Educación,Educación + sexo,educ_lbl,Bajo,Universitario,1.0018443396990515,0.9112624749458418,1.1014302778644318,0.9696004692640905,"1,00","0,91--1,10","0,970",4618,2032,2586,55.10136293023753
Patrón con tendencia poco saludable vs patrón equilibrado con tendencia saludable,Poco saludable vs equilibrado,Ocupación,Ocupación + sexo,ocup_posicion_3_aprox,Alta/profesional-directiva,Alta/profesional-directiva,1.0,,,,1,Referencia,,4602,2023,2579,55.14207554664481
Patrón con tendencia poco saludable vs patrón equilibrado con tendencia saludable,Poco saludable vs equilibrado,Ocupación,Ocupación + sexo,ocup_posicion_3_aprox,Intermedia/no manual y servicios,Alta/profesional-directiva,1.2736731660999288,1.144260085048653,1.417722557345029,9.643976873785306e-06,"1,27","1,14--1,42","<0,001",4602,2023,2579,55.14207554664481
Patrón con tendencia poco saludable vs patrón equilibrado con tendencia saludable,Poco saludable vs equilibrado,Ocupación,Ocupación + sexo,ocup_posicion_3_aprox,Manual/agraria/elemental,Alta/profesional-directiva,1.1693286534169367,1.0532843540869727,1.2981579897169557,0.0033518992424402187,"1,17","1,05--1,30","0,003",4602,2023,2579,55.14207554664481
Patrón con tendencia poco saludable vs patrón equilibrado con tendencia saludable,Poco saludable vs equilibrado,Situación económica,Situación económica + sexo,ingresos_lbl,Facilidad,Facilidad,1.0,,,,1,Referencia,,4612,2033,2579,55.03997776780783
Patrón con tendencia poco saludable vs patrón equilibrado con tendencia saludable,Poco saludable vs equilibrado,Situación económica,Situación económica + sexo,ingresos_lbl,Alguna facilidad,Facilidad,1.1878309586466813,1.0795746239092314,1.3069428968331542,0.00041501352935560014,"1,19","1,08--1,31","<0,001",4612,2033,2579,55.03997776780783
Patrón con tendencia poco saludable vs patrón equilibrado con tendencia saludable,Poco saludable vs equilibrado,Situación económica,Situación económica + sexo,ingresos_lbl,Alguna dificultad,Facilidad,1.154500711150654,1.0512407972120161,1.2679035056309271,0.0026534618177042526,"1,15","1,05--1,27","0,003",4612,2033,2579,55.03997776780783
